UDI,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,H,L,M,rotational_speed_normalised
3416,L,301.4,310.4,1579,36.9,133.0,0,0,0,0,0,0,0,1,0,0.31576223015660737
7130,L,300.6,310.0,1635,31.0,107.0,0,0,0,0,0,0,0,1,0,0.31576223015905225
2320,M,299.2,308.8,1700,33.5,185.0,0,0,0,0,0,0,0,0,1,0.31576223016148597
9601,M,298.9,310.0,1561,45.3,58.0,0,0,0,0,0,0,0,0,1,0.3157622301557423
614,L,298.1,309.9,1634,30.0,53.0,0,0,0,0,0,0,0,1,0,0.3157622301590116
4602,M,303.0,311.1,1372,54.3,117.0,1,0,1,0,0,0,0,0,1,0.31576223014349625
5247,L,300.1,310.0115802171291,1465,41.0,56.0,0,0,0,0,0,0,0,1,0,0.31576223015034166
7008,L,300.5,310.6,1499,45.2,8.0,0,0,0,0,0,0,0,1,0,0.3157622301524201
9375,M,297.8,308.5,1466,44.7,88.0,0,0,0,0,0,0,0,0,1,0.31576223015040566
1962,L,297.8,310.0115802171291,1448,51.2,107.0,0,0,0,0,0,0,0,1,0,0.315762230149225
7006,M,300.1,310.7,1339,52.9,0.0,0,0,0,0,0,0,0,0,1,0.3157622301405712
5551,M,302.3,311.9,1508,42.3,159.0,0,0,0,0,0,0,0,0,1,0.315762230152938
8974,L,296.8,307.4,1549,48.3,105.0,0,0,0,0,0,0,0,1,0,0.3157622301551421
4228,L,302.2,310.8,1383,46.9,45.0,0,0,0,0,0,0,0,1,0,0.3157622301444077
1489,L,298.2,309.1,1568,36.3,166.0,0,0,0,0,0,0,0,1,0,0.3157622301560836
8525,L,298.3,309.4,1468,46.2,10.0,0,0,0,0,0,0,0,1,0,0.3157622301505332
4295,M,301.7,310.1,1743,27.3,210.0,0,0,0,0,0,0,0,0,1,0.3157622301628947
6809,L,301.0,310.7,1391,45.0,123.0,0,0,0,0,0,0,0,1,0,0.3157622301450518
4205,M,302.3,310.9,1523,43.2,210.0,0,0,0,0,0,0,0,0,1,0.3157622301537731
7298,L,300.1,310.5,1500,39.8,107.0,0,0,0,0,0,0,0,1,0,0.31576223015247823
4073,L,301.9,310.6,1610,33.4,108.0,0,0,0,0,0,0,0,1,0,0.3157622301580045
9136,H,300.1,310.0115802171291,1404,50.3,97.0,0,0,0,0,0,0,1,0,0,0.31576223014606614
8571,H,297.9,308.7,1545,35.9,120.0,0,0,0,0,0,0,1,0,0,0.3157622301549377
8193,L,299.6,310.9,1229,65.2,209.0,1,0,0,0,1,0,0,1,0,0.31576223012827875
4359,H,302.0,309.9,1606,34.5,156.0,0,0,0,0,0,0,1,0,0,0.3157622301578305
5823,M,301.3,311.0,1463,50.2,214.0,0,0,0,0,0,0,0,0,1,0.3157622301502131
1624,L,297.7,310.0115802171291,1921,22.9,68.0,0,0,0,0,0,0,0,1,0,0.31576223016743094
8182,L,299.7,311.2,1835,23.7,183.0,0,0,0,0,0,0,0,1,0,0.3157622301654673
4667,M,300.1,311.5,1569,36.6,47.0,0,0,0,0,0,0,0,0,1,0.31576223015613186
1576,L,298.2,308.3,2057,18.0,168.0,0,0,0,0,0,0,0,1,0,0.3157622301698813
263,M,298.1,308.2,1736,26.8,27.0,0,0,0,0,0,0,0,0,1,0.3157622301626752
9944,M,298.3,308.0,1766,26.0,96.0,0,0,0,0,0,0,0,0,1,0.3157622301635906
4296,L,301.8,310.2,1457,40.4,213.0,0,0,0,0,0,0,0,1,0,0.3157622301498229
7969,L,300.9,312.2,1811,23.2,72.0,0,0,0,0,0,0,0,1,0,0.31576223016484817
1870,M,298.3,308.1,1630,32.7,83.0,0,0,0,0,0,0,0,0,1,0.315762230158848
5712,L,302.2,311.6,1545,35.9,152.0,0,0,0,0,0,0,0,1,0,0.3157622301549377
6409,L,300.3,309.9,1601,31.7,180.0,0,0,0,0,0,0,0,1,0,0.31576223015761046
4084,M,302.0,310.4,1567,36.4,114.0,0,0,0,0,0,0,0,0,1,0.3157622301560353
1469,M,298.6,309.8,1419,44.9,115.0,0,0,0,0,0,0,0,0,1,0.31576223014718896
6247,H,300.8,310.3,1457,46.8,182.0,0,0,0,0,0,0,1,0,0,0.3157622301498229
3791,L,302.3,310.9,1412,48.9,28.0,0,0,0,0,0,0,0,1,0,0.31576223014667115
6594,L,301.6,310.7,1679,29.5,10.0,0,0,0,0,0,0,0,1,0,0.31576223016074234
547,L,297.5,309.4,1809,24.3,110.0,0,0,0,0,0,0,0,1,0,0.315762230164795
7874,L,300.7,312.4,1470,38.6,56.0,0,0,0,0,0,0,0,1,0,0.3157622301506599
7321,H,299.8,310.2,1411,49.7,161.0,0,0,0,0,0,0,1,0,0,0.3157622301465963
7296,M,300.1,310.5,1329,57.4,99.0,0,0,0,0,0,0,0,0,1,0.31576223013962423
7919,L,300.8,312.1,1505,41.3,173.0,0,0,0,0,0,0,0,1,0,0.3157622301527668
6432,L,300.1,309.8,1353,59.4,26.0,0,0,0,0,0,0,0,1,0,0.31576223014184845
7499,M,300.2,311.8,1748,28.5,184.0,0,0,0,0,0,0,0,0,1,0.3157622301630492
2928,M,300.7,310.0115802171291,1421,49.8,165.0,0,0,0,0,0,0,0,0,1,0.31576223014733495
4411,L,302.5,310.2,1586,32.2,64.0,0,0,0,0,0,0,0,1,0,0.31576223015693283
4402,H,302.2,310.0,1468,43.6,38.0,0,0,0,0,0,0,1,0,0,0.3157622301505332
7264,L,300.4,310.0115802171291,1429,46.9,19.0,0,0,0,0,0,0,0,1,0,0.31576223014791055
4224,L,302.0,310.7,1657,31.9,37.0,0,0,0,0,0,0,0,1,0,0.31576223015992066
1645,L,298.0,310.0115802171291,1622,33.3,121.0,0,0,0,0,0,0,0,1,0,0.3157622301585158
3931,M,302.6,311.6,2041,19.2,174.0,0,0,0,0,0,0,0,0,1,0.3157622301696277
6775,H,301.2,310.7,1747,27.3,35.0,0,0,0,0,0,0,1,0,0,0.31576223016301846
7135,M,300.5,310.0,1406,50.2,119.0,0,0,0,0,0,0,0,0,1,0.31576223014621874
9125,L,297.4,308.4,1426,50.4,70.0,0,0,0,0,0,0,0,1,0,0.3157622301476963
803,L,300.1,307.8,1571,35.0,102.0,0,0,0,0,0,0,0,1,0,0.315762230156228
5907,L,300.1,310.3,1533,35.6,198.0,0,0,0,0,0,0,0,1,0,0.3157622301543111
6142,L,300.8,310.8,1486,45.7,146.0,0,0,0,0,0,0,0,1,0,0.3157622301516487
6140,L,300.8,310.7,1586,33.4,142.0,0,0,0,0,0,0,0,1,0,0.31576223015693283
3581,L,301.8,310.6,1650,31.9,126.0,0,0,0,0,0,0,0,1,0,0.31576223015964955
7405,L,299.8,310.8,1553,32.2,161.0,0,0,0,0,0,0,0,1,0,0.3157622301553443
3094,L,300.0,309.3,1397,51.2,108.0,0,0,0,0,0,0,0,1,0,0.31576223014552485
3379,L,301.5,310.7,1568,33.1,38.0,0,0,0,0,0,0,0,1,0,0.3157622301560836
4407,L,302.5,310.3,1326,58.5,55.0,1,0,1,0,0,0,0,1,0,0.31576223013933435
4654,M,303.1,311.1,1594,35.5,13.0,0,0,0,0,0,0,0,0,1,0.31576223015729754
6593,M,301.6,310.7,1457,47.8,7.0,0,0,0,0,0,0,0,0,1,0.3157622301498229
1945,L,298.1,308.1,1791,27.3,63.0,0,0,0,0,0,0,0,1,0,0.3157622301643055
9582,L,299.4,310.6,1418,53.1,10.0,0,0,0,0,0,0,0,1,0,0.3157622301471157
9294,L,298.3,309.1,1437,38.0,93.0,0,0,0,0,0,0,0,1,0,0.3157622301484728
2452,L,299.2,308.7,1650,30.5,93.0,0,0,0,0,0,0,0,1,0,0.31576223015964955
5324,M,303.4,312.7,1399,48.4,34.0,0,0,0,0,0,0,0,0,1,0.3157622301456806
2008,L,300.1,308.4,1562,34.4,25.0,0,0,0,0,0,0,0,1,0,0.31576223015579147
564,L,297.7,309.6,1529,35.2,153.0,0,0,0,0,0,0,0,1,0,0.31576223015409766
7379,L,299.5,310.0,1388,52.4,94.0,0,0,0,0,0,0,0,1,0,0.31576223014481203
368,M,297.6,308.4,1569,38.3,93.0,0,0,0,0,0,0,0,0,1,0.31576223015613186
1313,L,298.9,310.1,1473,42.6,164.0,0,0,0,0,0,0,0,1,0,0.31576223015084876
4825,L,303.4,310.0115802171291,1499,45.0,16.0,0,0,0,0,0,0,0,1,0,0.3157622301524201
1368,M,298.8,310.2,1581,37.5,75.0,0,0,0,0,0,0,0,0,1,0.31576223015670096
9997,H,298.9,308.4,1632,31.8,17.0,0,0,0,0,0,0,1,0,0,0.31576223015893
1695,L,298.0,307.5,1618,35.2,31.0,0,0,0,0,0,0,0,1,0,0.3157622301583471
8568,L,298.0,308.7,1511,45.8,114.0,0,0,0,0,0,0,0,1,0,0.3157622301531078
4710,M,303.4,311.6,1446,50.0,163.0,0,0,0,0,0,0,0,0,1,0.31576223014909
3605,L,301.8,310.8,1557,33.3,190.0,0,0,0,0,0,0,0,1,0,0.3157622301555444
5942,L,300.6,310.7,1438,48.5,78.0,1,0,0,0,0,0,0,1,0,0.3157622301485422
2173,L,299.5,309.2,1816,23.0,15.0,0,0,0,0,0,0,0,1,0,0.31576223016497995
3718,H,302.3,311.4,1443,44.1,51.0,0,0,0,0,0,0,1,0,0,0.31576223014888605
